Ticker,timestamp,IV_7_D_Call,IV_7_D_CallChg,IV_7_D_Put,IV_7_D_PutChg,IV_7_D_Call_1W,IV_7_D_Put_1W,IV_7_D_Call_1M,IV_7_D_Put_1M,IV_14_D_Call,IV_14_D_CallChg,IV_14_D_Put,IV_14_D_PutChg,IV_14_D_Call_1W,IV_14_D_Put_1W,IV_14_D_Call_1M,IV_14_D_Put_1M,IV_21_D_Call,IV_21_D_CallChg,IV_21_D_Put,IV_21_D_PutChg,IV_21_D_Call_1W,IV_21_D_Put_1W,IV_21_D_Call_1M,IV_21_D_Put_1M,IV_30_D_Call,IV_30_D_CallChg,IV_30_D_Put,IV_30_D_PutChg,IV_30_D_Call_1W,IV_30_D_Put_1W,IV_30_D_Call_1M,IV_30_D_Put_1M,IV_60_D_Call,IV_60_D_CallChg,IV_60_D_Put,IV_60_D_PutChg,IV_60_D_Call_1W,IV_60_D_Put_1W,IV_60_D_Call_1M,IV_60_D_Put_1M,IV_90_D_Call,IV_90_D_CallChg,IV_90_D_Put,IV_90_D_PutChg,IV_90_D_Call_1W,IV_90_D_Put_1W,IV_90_D_Call_1M,IV_90_D_Put_1M,IV_120_D_Call,IV_120_D_CallChg,IV_120_D_Put,IV_120_D_PutChg,IV_120_D_Call_1W,IV_120_D_Put_1W,IV_120_D_Call_1M,IV_120_D_Put_1M,IV_150_D_Call,IV_150_D_CallChg,IV_150_D_Put,IV_150_D_PutChg,IV_150_D_Call_1W,IV_150_D_Put_1W,IV_150_D_Call_1M,IV_150_D_Put_1M,IV_180_D_Call,IV_180_D_CallChg,IV_180_D_Put,IV_180_D_PutChg,IV_180_D_Call_1W,IV_180_D_Put_1W,IV_180_D_Call_1M,IV_180_D_Put_1M,IV_270_D_Call,IV_270_D_CallChg,IV_270_D_Put,IV_270_D_PutChg,IV_270_D_Call_1W,IV_270_D_Put_1W,IV_270_D_Call_1M,IV_270_D_Put_1M,IV_360_D_Call,IV_360_D_CallChg,IV_360_D_Put,IV_360_D_PutChg,IV_360_D_Call_1W,IV_360_D_Put_1W,IV_360_D_Call_1M,IV_360_D_Put_1M,IV_720_D_Call,IV_720_D_CallChg,IV_720_D_Put,IV_720_D_PutChg,IV_720_D_Call_1W,IV_720_D_Put_1W,IV_720_D_Call_1M,IV_720_D_Put_1M,IV_1080_D_Call,IV_1080_D_CallChg,IV_1080_D_Put,IV_1080_D_PutChg,IV_1080_D_Call_1W,IV_1080_D_Put_1W,IV_1080_D_Call_1M,IV_1080_D_Put_1M,HV_10_D_Cur,HV_20_D_Cur,HV_30_D_Cur,HV_60_D_Cur,HV_90_D_Cur,HV_120_D_Cur,HV_150_D_Cur,HV_180_D_Cur,Date,Snapshot_Age_Hours,IV_Rank_30D,IV_Term_Structure,IV_Trend_7D,HV_Trend_30D,VVIX,Recent_Vol_Spike,Volatility_Regime,Trend_State,Price_vs_SMA20_original,Price_vs_SMA50_original,Volume_Trend,ADX,RSI,Trend_Strength,RV_10D,RV_Calculated,RV_IV_Ratio,Chart_Pattern,Pattern_Confidence,Candlestick_Pattern,Entry_Timing_Quality,Reversal_Confirmation,IVHV_gap_30D,Signal_Type,Regime,IV30_Call,HV30,IVHV_gap_abs,IVHV_gap_60D,IVHV_gap_90D,IVHV_gap_180D,IVHV_gap_360D,IVHV_gap_30D_pct,IVHV_gap_60D_pct,IVHV_gap_90D_pct,IVHV_gap_180D_pct,IVHV_gap_360D_pct,ShortTerm_IV_Edge,MediumTerm_IV_Edge,LEAP_IV_Edge,UltraLEAP_IV_Edge,ShortTerm_IV_Rich,ShortTerm_IV_Cheap,MediumTerm_IV_Rich,MediumTerm_IV_Cheap,LEAP_IV_Rich,LEAP_IV_Cheap,UltraLEAP_IV_Rich,UltraLEAP_IV_Cheap,HighVol,ElevatedVol,ModerateVol,LowRank,IV_Rich,IV_Cheap,MeanReversion_Setup,Expansion_Setup,df_elevated_plus,df_moderate_vol,Chart_Regime,Chart_EMA_Signal,Chart_Signal_Type,Days_Since_Cross,Has_Crossover,Trend_Slope,Price_vs_SMA20_chart,Price_vs_SMA50_chart,SMA20,SMA50,Atr_Pct,Universal_Data_Complete,Directional_Data_Complete,Crossover_Age_Bucket,Validation_Status,Data_Completeness_Pct,Missing_Required_Data,Theory_Compliance_Score,Evaluation_Notes,Strategy_Family,Strategy_Family_Rank
WING,2025-08-25 07:26:25.575715,41.98,-0.6,42.19,1.49,42.08,41.71,66.25,68.94,41.98,-0.6,42.19,1.49,42.08,41.71,66.25,68.94,41.98,-0.6,42.19,1.49,42.08,41.71,66.25,68.94,42.42,-0.16,42.31,1.64,42.08,41.71,61.32,63.16,44.27,0.92,43.62,2.23,42.01,41.58,52.39,52.51,46.51,-0.42,46.14,1.01,45.49,44.96,50.9,50.79,47.31,-1.21,47.01,0.21,47.41,46.82,50.14,49.9,46.63,-0.71,46.06,0.2,46.65,45.87,49.64,49.31,47.25,-0.62,46.48,0.24,47.25,46.24,48.44,47.78,47.3,-0.54,46.43,0.12,47.95,46.45,48.75,47.46,47.32,-0.42,46.13,0.05,47.93,46.2,48.15,46.61,47.15,-0.25,45.45,0.09,47.22,45.33,47.35,45.64,47.15,-0.25,45.45,0.09,47.22,45.33,47.35,45.64,53.86,100.22,84.66,64.09,62.78,61.14,61.01,57.57,8/25/25,3038.006238044167,1.7671517671517847,Flat,Stable,Falling,8.990755746258982,False,High Vol,Bearish,-3.606782802441983,-1.410190761406336,Falling,20.859171387130015,48.056085982102786,Moderate,38.27185316070618,True,0.9022124743212206,Descending Triangle,64.0,,,False,-42.239999999999995,Bearish,High Vol,42.42,84.66,42.239999999999995,-19.82,-16.270000000000003,-10.32,-10.25,-49.89369241672572,-30.925261351224837,-25.915896782414787,-17.926003126628455,-17.804412020149382,True,True,True,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,False,True,False,Ranging,Bullish,Bullish,10,True,-0.1562,-9.11,-3.48,252.62,246.99,3.95,False,True,Age_6_15,Reject,0.0,No valid contracts selected,0.0,Contract selection failed: Unknown,Other,1
NVDA,2025-08-25 07:26:28.339205,55.79,5.45,55.58,5.21,52.02,51.92,36.77,35.73,52.36,2.02,52.13,1.76,52.02,51.92,35.24,34.39,47.85,1.36,47.6,1.08,46.51,46.59,34.42,33.64,44.63,1.05,44.4,0.88,42.98,43.03,33.87,33.13,41.67,0.71,41.28,0.56,39.29,39.13,40.18,39.46,42.13,0.22,41.72,0.3,40.34,39.34,38.88,38.2,41.6,-0.01,41.03,0.04,40.24,40.57,40.22,39.36,40.82,-0.05,40.12,0.09,39.4,40.55,40.32,39.39,40.48,0.02,39.76,0.13,39.69,38.58,39.68,38.66,41.23,0.14,40.23,0.07,40.6,39.43,40.04,38.77,41.47,0.06,40.19,-0.09,40.86,39.49,40.8,39.33,42.19,0.09,40.06,-0.27,41.12,39.2,40.89,38.7,42.27,0.3,39.85,-0.37,41.2,39.04,40.75,38.24,22.31,25.34,26.17,26.64,33.82,48.38,56.82,54.48,8/25/25,3038.006238044167,100.0,Inverted,Stable,Falling,4.731598273545868,False,High Vol,Bullish,3.493784203351385,1.0919771866245174,Falling,13.755815971740775,53.096727129602726,Weak,34.67243393611079,True,0.7768862634127446,,0.0,,,False,18.46,Bullish,High Vol,44.63,26.17,18.46,15.030000000000001,8.310000000000002,-14.0,-13.009999999999998,70.53878486816966,56.418918918918926,24.57125960969841,-25.697503671071953,-23.88032305433186,True,True,True,True,True,False,True,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,Trending,Bullish,Bullish,5,True,5.9125,6.35,2.03,181.87,186.19,2.64,False,True,Age_0_5,Reject,0.0,No valid contracts selected,0.0,Contract selection failed: Unknown,Other,1
AMZN,2025-08-25 07:26:31.259911,23.71,0.97,23.6,1.01,23.22,22.79,48.75,47.99,23.87,1.14,23.73,1.14,23.22,22.79,41.78,42.11,24.06,0.58,23.88,0.0,22.88,22.56,37.18,36.73,24.44,0.75,24.19,0.68,23.22,22.99,34.08,30.79,26.12,0.63,25.77,0.76,24.15,23.55,29.78,29.49,28.73,0.17,28.26,0.26,27.3,26.52,29.19,29.24,28.32,0.04,27.7,0.04,27.51,26.74,30.63,29.49,28.46,0.13,27.7,0.25,27.47,26.51,30.01,29.53,29.62,-0.02,28.8,0.23,28.73,27.52,29.72,28.49,30.05,-0.16,28.98,0.03,29.43,28.12,30.58,29.31,30.4,-0.09,29.03,-0.02,30.15,28.47,30.87,29.01,31.27,0.23,28.97,-0.12,31.02,28.57,31.74,29.16,31.3,0.46,28.74,-0.08,30.87,28.41,31.75,29.1,26.64,40.41,33.88,28.05,31.38,39.16,37.13,35.55,8/25/25,3038.006238044167,11.233885819521202,Contango,Rising,Falling,4.857498212957869,False,Compression,Bullish,1.3317644137449762,0.567605300999756,Falling,16.654912060126957,59.54312463349951,Moderate,17.857731855154,True,0.7306764261519639,,0.0,,,False,-9.440000000000001,Bullish,Compression,24.44,33.88,9.440000000000001,-1.9299999999999997,-2.6499999999999986,-5.929999999999996,-5.149999999999999,-27.863046044864227,-6.880570409982173,-8.444869343530907,-16.68073136427566,-14.486638537271446,True,False,True,True,False,True,False,False,False,True,False,True,True,False,False,True,False,True,False,False,True,False,Trending,Bullish,Bullish,3,True,3.3141,3.05,1.31,229.02,230.76,1.64,False,True,Age_0_5,Reject,0.0,No valid contracts selected,0.0,Contract selection failed: Unknown,Other,1
GOOG,2025-08-25 07:26:32.741984,34.4,1.94,34.37,2.47,32.33,32.78,50.25,49.52,33.18,0.73,33.12,1.23,32.33,32.78,46.01,44.72,31.57,0.84,31.49,0.92,30.96,30.78,39.05,38.45,30.63,0.75,30.34,0.86,30.21,29.47,36.98,34.12,29.72,1.3,29.43,1.09,28.72,28.13,32.01,32.52,30.91,0.59,30.47,0.71,30.19,29.4,29.64,28.94,29.93,0.27,29.41,0.67,29.87,29.02,31.67,32.58,29.74,0.46,29.11,1.32,29.5,28.9,31.24,29.72,30.47,0.16,29.7,0.6,30.23,29.07,30.48,28.47,30.44,0.32,29.38,0.62,30.68,29.08,31.42,28.34,30.54,0.25,29.3,0.42,30.93,29.16,31.09,28.43,31.38,0.32,29.24,0.1,31.58,29.11,32.42,30.1,31.55,0.32,29.2,0.01,31.7,29.24,32.33,30.09,19.1,22.37,19.66,21.75,27.29,32.95,33.21,32.98,8/25/25,3038.006238044167,6.203840472673536,Flat,Stable,Stable,3.097163576923604,False,Compression,Bullish,0.3139451871325985,6.628673514792668,Falling,34.298568769237654,49.938019004142575,Strong,23.141705507085646,True,0.755524175876123,,0.0,,,False,10.969999999999999,Bullish,Compression,30.63,19.66,10.969999999999999,7.969999999999999,3.620000000000001,-2.509999999999998,-2.4399999999999977,55.798575788402836,36.643678160919535,13.264932209600591,-7.61067313523347,-7.398423286840503,True,True,True,True,True,False,True,False,False,True,False,True,True,False,False,True,True,False,False,False,True,False,Trending,Bullish,Bullish,129,True,3.5176,0.98,19.54,313.41,294.85,2.13,False,True,Age_16_plus,Reject,0.0,No valid contracts selected,0.0,Contract selection failed: Unknown,Other,1
AVGO,2025-08-25 07:26:34.236724,61.76,4.6,61.69,5.1,40.33,40.5,40.76,39.51,58.1,0.94,57.96,1.37,40.33,40.5,39.4,37.82,52.99,0.45,52.79,0.71,51.26,50.97,37.75,37.1,49.27,0.8,49.11,0.46,47.76,47.73,37.05,35.5,44.85,0.31,44.58,0.53,44.02,43.65,42.75,42.14,43.83,0.43,43.42,0.61,43.16,42.79,41.42,40.64,44.67,-0.01,44.14,0.11,44.11,43.66,41.52,40.34,43.53,-0.12,42.95,0.2,43.75,43.04,43.42,41.71,42.95,-0.01,42.3,0.27,43.15,42.28,42.85,41.33,43.16,0.04,42.26,0.16,43.41,42.31,42.53,40.99,42.72,-0.83,41.63,-0.38,43.33,41.98,42.76,41.06,43.12,-0.21,41.3,-0.37,43.65,41.92,43.07,41.17,43.16,0.07,41.04,-0.5,43.42,41.75,43.24,41.22,28.44,30.41,29.23,30.97,33.34,50.61,56.09,61.37,8/25/25,3038.006238044167,100.0,Inverted,Stable,Stable,5.439695661421593,False,High Vol,Bearish,-4.478309595579598,-3.2509832697524623,Falling,35.54212023193992,30.567327820009965,Strong,43.933462003724756,True,0.8916878831687589,,0.0,,,False,20.040000000000003,Bearish,High Vol,49.27,29.23,20.040000000000003,13.880000000000003,10.489999999999995,-18.419999999999995,-18.65,68.55969893944578,44.817565385857286,31.463707258548272,-30.014665145836723,-30.389441094997554,True,True,True,True,True,False,True,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,Ranging,Bearish,Bearish,13,True,0.1346,-16.38,-11.74,365.77,361.13,4.57,False,True,Age_6_15,Reject,0.0,No valid contracts selected,0.0,Contract selection failed: Unknown,Other,1
TSLA,2025-08-25 07:26:35.683333,45.54,2.73,45.47,2.79,42.87,42.51,72.7,70.03,46.02,3.21,45.89,3.22,42.87,42.51,64.8,62.64,46.56,2.08,46.4,2.21,42.58,42.25,59.78,57.96,46.82,1.37,46.66,1.56,43.74,43.33,56.69,55.05,49.9,1.13,49.58,1.38,47.15,46.51,53.33,51.95,52.3,0.51,51.87,0.86,50.72,49.91,53.79,52.42,51.79,0.42,51.25,0.66,51.15,50.25,55.36,53.91,52.24,0.32,51.59,0.71,51.54,50.4,54.72,53.27,53.18,0.12,52.42,0.56,52.59,51.29,54.71,53.16,54.31,0.05,53.27,0.33,54.14,52.52,55.89,53.84,54.73,-0.14,53.44,0.29,54.32,52.62,55.47,53.75,55.85,-0.05,53.51,-0.05,55.65,52.96,57.23,54.28,56.1,0.12,53.43,-0.15,55.76,52.93,57.5,54.29,39.75,37.16,43.56,58.11,58.39,74.65,70.96,70.45,8/25/25,3038.006238044167,23.78378378378378,Flat,Rising,Falling,5.523744704053179,False,High Vol,Neutral,-0.6102096819623,3.3469287163584047,Stable,46.598301357327294,57.32438739191874,Strong,45.35693926310251,True,0.9687513725566533,Descending Triangle,64.0,,,False,3.259999999999998,Bidirectional,High Vol,46.82,43.56,3.259999999999998,-8.21,-6.090000000000003,-17.270000000000003,-15.720000000000006,7.483930211202934,-14.12837721562554,-10.429868128104133,-24.513839602555006,-22.31369765791342,True,True,True,True,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False,False,True,Neutral,Bullish,Bullish,26,True,0.7738,-2.82,14.89,462.46,444.75,3.91,False,True,Age_16_plus,Reject,0.0,No valid contracts selected,0.0,Contract selection failed: Unknown,Other,1
JPM,2025-08-25 07:26:37.580099,19.96,1.32,19.8,1.15,20.59,20.35,19.41,19.34,20.36,1.72,20.17,1.52,20.59,20.35,18.47,18.98,20.77,1.08,20.55,1.17,20.05,19.87,19.33,19.23,20.89,0.7,20.68,0.78,20.83,20.37,19.35,18.74,23.89,0.86,23.7,0.53,23.1,22.72,20.45,20.07,23.93,0.48,23.56,0.22,23.25,22.97,22.28,22.21,23.4,0.57,22.96,0.25,23.1,22.83,23.04,22.57,23.86,0.27,23.53,0.27,23.73,23.31,22.68,22.21,23.75,0.05,23.4,0.3,23.76,23.31,23.43,23.25,24.46,0.35,23.76,0.27,23.99,23.26,24.09,23.18,24.76,0.15,24.05,0.17,24.7,23.82,24.6,23.44,24.85,0.28,23.66,-0.23,25.07,24.12,25.14,24.07,24.85,0.34,23.6,-0.43,25.08,24.12,25.21,23.8,14.65,17.29,15.96,16.74,17.76,29.33,27.91,26.58,8/25/25,3038.006238044167,100.0,Contango,Stable,Falling,0.7122421560739631,False,High Vol,Bullish,2.251749274848417,4.441009392254006,Stable,11.383587146233213,56.79720765514445,Weak,17.612529128483494,True,0.8431081440154856,,0.0,,,False,4.93,Bullish,High Vol,20.89,15.96,4.93,7.150000000000002,6.169999999999998,-2.8299999999999983,-1.8199999999999967,30.889724310776938,42.71206690561531,34.74099099099098,-10.64710308502633,-6.847253574115865,True,True,True,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,Trending,Bullish,Bullish,28,True,5.9032,7.13,13.77,316.62,309.98,2.07,False,True,Age_16_plus,Reject,0.0,No valid contracts selected,0.0,Contract selection failed: Unknown,Other,1
WMT,2025-08-25 07:26:39.158746,18.99,0.23,18.89,0.43,33.73,33.05,21.18,20.41,19.07,0.31,18.94,0.48,33.73,33.05,20.51,19.84,19.15,-0.07,19.02,0.06,29.22,28.92,20.11,19.71,18.88,-0.38,19.22,0.4,27.26,26.84,26.53,26.29,20.9,0.11,20.48,0.12,24.51,24.2,25.0,24.69,22.65,-0.11,22.23,0.21,25.25,24.44,24.42,23.5,22.54,-0.01,22.05,0.14,24.97,23.95,25.41,24.23,22.63,0.04,21.95,0.24,24.23,23.17,24.79,23.99,23.13,-0.15,22.39,0.16,24.58,23.27,24.38,23.23,23.77,0.04,22.95,-0.35,24.61,23.75,24.78,23.35,24.31,0.27,23.06,-0.12,25.01,23.63,25.36,23.42,24.86,0.22,23.24,-0.83,25.49,23.18,25.95,23.47,24.86,0.22,23.24,-0.83,25.49,23.18,25.95,23.47,27.82,26.16,22.05,19.37,19.13,27.09,27.7,26.28,8/25/25,3038.006238044167,0.0,Mixed,Falling,Rising,3.790042509289603,False,Compression,Neutral,-1.1452498522334253,4.253075771125163,Falling,41.61755240612374,47.374082644031276,Strong,13.368727425933915,True,0.7080893763736185,,0.0,,,False,-3.1700000000000017,Bidirectional,Compression,18.88,22.05,3.1700000000000017,1.5299999999999976,3.5199999999999996,-3.150000000000002,-1.9700000000000024,-14.3764172335601,7.898812596799161,18.40041819132253,-11.986301369863021,-7.496194824961957,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,True,Neutral,Bullish,Bullish,39,True,-1.4497,-1.3,4.59,113.83,107.94,1.69,False,True,Age_16_plus,Reject,0.0,No valid contracts selected,0.0,Contract selection failed: Unknown,Other,1
ORCL,2025-08-25 07:26:40.739799,38.13,2.56,38.02,2.05,37.03,36.79,36.21,35.43,50.92,15.35,51.25,15.29,37.03,36.79,34.76,34.15,56.96,-0.21,57.17,-0.05,35.92,35.83,34.17,33.42,52.5,-0.16,52.35,-0.09,51.44,50.92,34.62,32.72,47.41,-0.17,47.18,-0.54,46.38,45.91,43.7,42.52,44.32,-0.24,44.1,0.02,44.22,43.48,41.82,40.74,45.71,-0.48,45.55,-0.01,45.18,44.44,40.57,39.4,44.35,-0.09,43.91,-0.79,44.1,43.53,42.67,41.54,42.57,-0.9,42.66,0.15,42.68,42.27,41.26,40.05,42.29,-0.17,41.72,0.08,42.38,41.43,41.03,39.7,42.64,0.04,41.78,0.38,42.53,41.58,41.18,39.74,41.75,0.22,40.11,0.03,41.54,39.88,40.6,38.61,41.71,0.6,39.92,0.27,41.32,39.93,40.62,38.63,38.73,35.28,33.34,42.82,40.45,46.84,50.28,47.93,8/25/25,3038.006238044167,100.0,Mixed,Stable,Rising,8.190308636159907,False,High Vol,Bearish,-2.4122211887292395,-13.581172945333906,Falling,16.228867463551122,34.78839822747109,Moderate,53.043621059501625,True,1.01035468684765,Bear Flag,70.0,,,False,19.159999999999997,Bearish,High Vol,52.5,33.34,19.159999999999997,4.589999999999996,3.8699999999999974,-5.359999999999999,-5.289999999999999,57.46850629874024,10.719290051377852,9.567367119901107,-11.182975172126016,-11.036928854579592,True,True,True,True,True,False,True,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,Neutral,Bearish,Bearish,68,True,1.625,-4.83,-30.7,200.21,226.08,4.96,False,True,Age_16_plus,Reject,0.0,No valid contracts selected,0.0,Contract selection failed: Unknown,Other,1
PG,2025-08-25 07:26:43.439913,16.69,1.09,16.83,1.13,17.29,16.93,28.85,28.76,16.68,1.09,16.72,1.02,17.29,16.93,25.83,24.55,16.82,0.2,16.84,0.19,16.99,16.98,23.22,21.84,18.73,2.06,18.24,1.8,15.89,16.96,21.81,20.48,20.18,0.25,19.73,0.87,19.54,18.84,20.85,19.7,19.95,0.49,19.59,1.15,19.88,19.26,21.3,19.91,19.72,0.37,19.31,0.87,19.92,19.26,20.87,19.41,19.64,0.31,19.24,0.77,19.95,19.24,20.6,19.11,19.77,0.09,19.53,0.83,20.12,19.27,20.43,18.93,20.23,0.28,19.28,0.56,20.43,19.13,20.36,18.92,19.88,-0.49,19.39,0.54,20.47,19.09,20.36,18.77,21.02,0.24,19.4,0.1,21.32,19.48,20.67,18.77,21.02,0.24,19.4,0.1,21.32,19.48,20.67,18.77,12.52,15.59,16.14,15.08,17.64,19.94,20.6,19.92,8/25/25,3038.006238044167,47.97297297297299,Flat,Rising,Falling,2.41749181315401,False,Expansion,Neutral,0.4652557153641489,-1.5057379929379384,Falling,24.607155427706978,68.53067189514006,Moderate,17.590863985509362,True,0.9391812058467358,,0.0,,,False,2.59,Bidirectional,Expansion,18.73,16.14,2.59,5.1,2.3099999999999987,-0.15000000000000213,-0.0400000000000027,16.04708798017348,33.81962864721485,13.095238095238088,-0.7530120481927818,-0.20080321285141917,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,Ranging,Bearish,Bearish,101,True,0.1001,0.67,-2.21,143.9,146.78,1.43,False,True,Age_16_plus,Reject,0.0,No valid contracts selected,0.0,Contract selection failed: Unknown,Other,1
JNJ,2025-08-25 07:26:44.818128,15.42,2.52,14.52,1.06,12.63,13.3,15.2,15.54,14.93,2.03,14.76,1.3,12.63,13.3,14.88,14.55,14.71,0.85,14.81,0.55,13.26,13.47,14.3,14.1,15.47,0.78,15.33,0.41,14.24,14.02,14.02,14.06,16.7,0.55,16.38,0.46,15.99,15.63,14.88,14.93,16.62,0.78,16.26,0.13,15.56,15.32,16.67,15.71,16.79,0.8,16.41,0.73,15.84,15.3,16.25,15.23,17.23,0.61,16.81,0.74,16.4,15.47,16.5,15.49,17.52,0.51,17.23,0.7,16.66,15.8,17.04,16.45,17.8,0.38,17.49,0.83,17.24,15.92,17.41,16.51,17.74,-0.01,17.49,0.85,17.55,16.43,18.23,16.53,19.3,-0.31,18.55,0.22,19.23,17.34,18.84,17.6,19.42,-0.3,18.65,0.14,19.23,17.34,18.84,17.6,8.55,14.48,22.14,18.18,18.48,22.47,22.01,21.39,8/25/25,3038.006238044167,100.0,Flat,Rising,Falling,0.6380351784101637,True,High Vol,Bullish,0.3976040207010497,4.459119655976651,Falling,28.125807425949017,59.756902044998384,Strong,16.789543015836447,True,1.0852968982441142,,0.0,Dark Cloud Cover,Moderate,False,-6.67,Bullish,High Vol,15.47,22.14,6.67,-1.4800000000000004,-1.8599999999999994,-3.870000000000001,-3.650000000000002,-30.126467931345978,-8.140814081408143,-10.064935064935062,-18.092566619915853,-17.064048620850876,True,False,True,True,False,True,False,False,False,True,False,True,True,False,False,False,False,True,True,False,True,False,Ranging,Bullish,Bullish,48,True,-0.3262,0.82,8.86,206.74,198.7,1.88,False,True,Age_16_plus,Reject,0.0,No valid contracts selected,0.0,Contract selection failed: Unknown,Other,1
PLTR,2025-08-25 07:26:49.239004,59.66,10.27,59.72,10.38,45.49,45.47,45.57,45.53,58.63,9.23,58.57,9.23,45.49,45.47,71.77,71.71,57.09,6.96,56.87,6.73,45.08,45.09,70.87,70.6,56.65,6.05,55.93,5.4,45.71,45.92,65.4,64.6,57.53,4.51,57.37,4.64,48.19,48.14,57.69,57.03,61.28,3.08,60.94,3.16,54.87,54.6,56.54,56.23,59.54,2.69,58.94,2.44,55.33,55.03,60.45,59.57,58.88,2.8,58.15,2.45,54.47,54.15,58.62,58.01,60.34,2.24,59.58,2.09,56.36,55.85,57.62,56.85,60.4,1.77,59.4,1.34,57.53,56.91,59.21,58.16,60.5,1.66,59.62,1.54,57.22,56.6,59.25,58.0,59.64,1.86,57.28,0.79,56.74,55.52,58.66,56.87,59.41,2.08,56.89,0.71,56.22,54.98,57.88,56.37,52.24,55.21,49.34,52.6,58.63,70.43,75.95,73.64,8/25/25,3038.006238044167,55.56119857795833,Flat,Rising,Rising,8.054965342362852,False,High Vol,Bullish,0.12992878645570774,1.626808582306452,Falling,38.476725820180256,52.542039520566775,Strong,50.31359450052611,True,0.8881481818274688,Descending Triangle,64.0,,,False,7.309999999999995,Bullish,High Vol,56.65,49.34,7.309999999999995,4.93,2.6499999999999986,-13.299999999999997,-13.14,14.81556546412646,9.372623574144486,4.519870373528907,-18.060836501901136,-17.843563280825638,True,True,True,True,True,False,True,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,Neutral,Bullish,Bullish,21,True,1.6546,0.24,2.95,183.94,181.23,3.87,False,True,Age_16_plus,Reject,0.0,No valid contracts selected,0.0,Contract selection failed: Unknown,Other,1
PM,2025-08-25 07:26:52.687828,24.32,1.47,23.99,1.9,22.3,22.21,24.67,24.13,23.91,1.06,23.67,1.58,22.3,22.21,24.79,23.42,23.65,-0.86,23.36,0.51,22.61,21.63,24.3,23.19,23.74,0.32,23.56,0.31,23.0,22.85,23.8,23.8,25.35,0.88,25.35,1.31,23.87,23.4,23.36,23.48,27.06,0.48,26.9,0.53,26.06,25.9,24.69,23.89,26.28,0.58,26.05,0.18,26.02,25.93,26.21,25.62,26.02,0.32,25.75,0.8,25.79,25.14,25.9,25.37,26.19,0.65,25.92,0.51,25.78,25.35,25.87,25.06,26.01,0.21,25.48,0.0,25.76,25.19,25.88,25.68,26.09,0.23,25.53,0.32,25.9,25.47,25.7,25.67,25.98,0.01,25.36,0.12,26.15,25.36,26.99,25.55,25.98,0.01,25.36,0.12,26.15,25.36,26.99,25.55,20.41,21.13,33.04,26.7,24.73,26.5,28.35,27.09,8/25/25,3038.006238044167,92.49999999999972,Flat,Stable,Falling,0.3638070306571266,False,High Vol,Bullish,5.0455403382981245,5.962946949316989,Falling,34.61369983303093,85.96669144001494,Strong,18.832174121264657,True,0.7932676546446781,,0.0,,,False,-9.3,Bullish,High Vol,23.74,33.04,9.3,-1.3499999999999979,2.3299999999999983,-0.8999999999999986,-1.0,-28.147699757869255,-5.056179775280891,9.421754953497768,-3.3222591362126193,-3.69139904023625,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,Trending,Bullish,Bullish,13,True,3.6964,7.78,9.11,154.16,152.83,1.83,False,True,Age_6_15,Reject,0.0,No valid contracts selected,0.0,Contract selection failed: Unknown,Other,1
